bowler,total_balls,total_runs,total_wickets,overs,economy,bowling_avg
R Powell,21,35,1,3.5,10.0,35.0
R Rampaul,278,319,17,46.3,6.89,18.76
R Ravindra,12,7,0,2.0,3.5,7.0
R Sai Kishore,477,701,33,79.5,8.82,21.24
R Sanjay Yadav,14,23,0,2.3,10.0,23.0
R Sathish,144,233,6,24.0,9.71,38.83
R Sharma,935,1100,42,155.8,7.06,26.19
R Shepherd,381,719,19,63.5,11.32,37.84
R Shukla,130,217,7,21.7,10.0,31.0
R Tewatia,866,1117,36,144.3,7.74,31.03
R Vinay Kumar,2186,3041,127,364.3,8.35,23.94
RA Bawa,32,50,2,5.3,9.43,25.0
RA Jadeja,4329,5525,189,721.5,7.66,29.23
RA Shaikh,6,11,0,1.0,11.0,11.0
RA Tripathi,6,12,0,1.0,12.0,12.0
RD Chahar,1728,2220,76,288.0,7.71,29.21
RE van der Merwe,455,515,25,75.8,6.79,20.6
RG More,37,63,1,6.2,10.16,63.0
RG Sharma,349,462,16,58.2,7.94,28.88
RJ Gleeson,73,111,2,12.2,9.1,55.5
RJ Harris,865,1085,47,144.2,7.52,23.09
RJ Peterson,48,70,3,8.0,8.75,23.33
RJW Topley,125,222,5,20.8,10.67,44.4
RN ten Doeschate,83,94,3,13.8,6.81,31.33
RP Meredith,415,621,21,69.2,8.97,29.57
RP Singh,1874,2417,100,312.3,7.74,24.17
RR Bhatkal,12,35,0,2.0,17.5,35.0
RR Bose,12,24,0,2.0,12.0,24.0
RR Powar,443,538,15,73.8,7.29,35.87
RR Raje,144,214,7,24.0,8.92,30.57
RS Bopara,213,301,13,35.5,8.48,23.15
RS Gavaskar,6,8,0,1.0,8.0,8.0
RS Ghosh,18,24,1,3.0,8.0,24.0
RS Hangargekar,43,60,3,7.2,8.33,20.0
RV Gomez,97,130,6,16.2,8.02,21.67
RV Patel,20,22,0,3.3,6.67,22.0
RW Price,18,33,0,3.0,11.0,33.0
Raghu Sharma,90,130,1,15.0,8.67,130.0
Ramandeep Singh,66,95,7,11.0,8.64,13.57
Rashid Khan,3585,4390,187,597.5,7.35,23.48
Rasikh Salam,517,819,30,86.2,9.5,27.3
Ravi Bishnoi,1857,2522,89,309.5,8.15,28.34
S Aravind,788,1057,48,131.3,8.05,22.02
S Badree,263,329,11,43.8,7.51,29.91
S Dhawan,49,72,4,8.2,8.78,18.0
S Dube,162,287,7,27.0,10.63,41.0
S Gopal,1000,1358,53,166.7,8.15,25.62
S Joseph,30,51,0,5.0,10.2,51.0
S Kaul,1238,1772,63,206.3,8.59,28.13
S Kaushik,210,304,6,35.0,8.69,50.67
S Ladda,141,225,5,23.5,9.57,45.0
S Lamichhane,211,297,14,35.2,8.44,21.21
S Midhun,13,29,0,2.2,13.18,29.0
S Nadeem,1444,1800,54,240.7,7.48,33.33
S Narwal,113,203,6,18.8,10.8,33.83
S Rana,16,18,0,2.7,6.67,18.0
S Randiv,180,223,8,30.0,7.43,27.88
S Sandeep Warrier,176,257,8,29.3,8.77,32.12
S Sreesanth,947,1221,43,157.8,7.74,28.4
S Sriram,18,49,0,3.0,16.33,49.0
S Tyagi,220,304,6,36.7,8.28,50.67
S Vidyut,13,22,1,2.2,10.0,22.0
SA Abbott,59,104,1,9.8,10.61,104.0
SA Yadav,6,8,0,1.0,8.0,8.0
SB Bangar,153,221,6,25.5,8.67,36.83
SB Jakati,1101,1474,50,183.5,8.03,29.48
SB Joshi,55,82,1,9.2,8.91,82.0
SB Styris,222,278,9,37.0,7.51,30.89
SB Wagh,108,147,5,18.0,8.17,29.4
SC Ganguly,280,370,12,46.7,7.92,30.83
SC Kuggeleijn,50,71,2,8.3,8.55,35.5
SD Chitnis,38,62,2,6.3,9.84,31.0
SE Bond,191,225,9,31.8,7.08,25.0
SE Rutherford,46,60,1,7.7,7.79,60.0
SH Johnson,243,403,7,40.5,9.95,57.57
SJ Srivastava,306,444,15,51.0,8.71,29.6
SK Raina,930,1139,30,155.0,7.35,37.97
SK Trivedi,1557,1944,73,259.5,7.49,26.63
SK Warne,1223,1465,60,203.8,7.19,24.42
SL Malinga,2974,3486,188,495.7,7.03,18.54
SM Boland,43,56,3,7.2,7.78,18.67
SM Curran,1308,2059,63,218.0,9.44,32.68
SM Harwood,67,74,3,11.2,6.61,24.67
SM Pollock,280,307,13,46.7,6.57,23.62
SMSM Senanayake,195,211,9,32.5,6.49,23.44
