champion,titles
Chennai Super Kings,5
Mumbai Indians,5
Kolkata Knight Riders,3
Royal Challengers Bengaluru,2
Deccan Chargers,1
Gujarat Titans,1
Rajasthan Royals,1
Sunrisers Hyderabad,1
