player_of_match,potm_awards
AB de Villiers,25
V Kohli,22
CH Gayle,22
RG Sharma,21
DA Warner,18
MS Dhoni,18
SP Narine,18
RA Jadeja,17
KL Rahul,17
YK Pathan,16
SR Watson,16
AD Russell,16
Rashid Khan,14
SK Raina,14
KA Pollard,14
Shubman Gill,14
JC Buttler,14
SV Samson,14
AM Rahane,13
G Gambhir,13
MEK Hussey,12
RD Gaikwad,12
A Mishra,12
S Dhawan,12
DR Smith,11
SS Iyer,11
V Sehwag,11
AT Rayudu,10
JJ Bumrah,10
UT Yadav,10
JH Kallis,10
F du Plessis,10
SA Yadav,10
Ishan Kishan,9
KH Pandya,9
GJ Maxwell,9
MP Stoinis,9
SE Marsh,9
HH Pandya,8
CV Varun,8
Harbhajan Singh,8
Kuldeep Yadav,8
SR Tendulkar,8
RR Pant,8
AR Patel,8
AC Gilchrist,7
Sandeep Sharma,7
YS Chahal,7
Q de Kock,7
TA Boult,7
KD Karthik,7
B Kumar,7
Mohammed Siraj,7
RV Uthappa,7
Abhishek Sharma,7
SL Malinga,6
KS Williamson,6
JM Bairstow,6
R Ashwin,6
MA Starc,6
A Nehra,6
M Vijay,6
MK Pandey,6
JD Unadkat,6
BJ Hodge,6
YBK Jaiswal,6
MR Marsh,6
N Rana,6
DW Steyn,5
SPD Smith,5
HV Patel,5
Yuvraj Singh,5
JP Faulkner,5
DA Miller,5
BA Stokes,5
RM Patidar,5
DPMD Jayawardene,5
KC Sangakkara,5
PA Patel,5
NM Coulter-Nile,5
AJ Finch,5
WP Saha,5
SC Ganguly,5
MM Sharma,5
BB McCullum,5
JR Hazlewood,4
N Pooran,4
Mohammed Shami,4
RK Singh,4
ML Hayden,4
SN Thakur,4
PP Shaw,4
RA Tripathi,4
SK Warne,4
JP Duminy,4
SM Curran,4
K Rabada,4
PD Salt,4
MA Agarwal,4
VR Iyer,4
DP Conway,4
I Sharma,4
Harpreet Brar,4
CA Lynn,4
DJ Bravo,4
V Suryavanshi,4
B Sai Sudharsan,4
TM Head,3
P Simran Singh,3
Noor Ahmad,3
KK Nair,3
TH David,3
LRPL Taylor,3
KP Pietersen,3
PJ Cummins,3
Avesh Khan,3
LMP Simmons,3
L Balaji,3
Mandeep Singh,3
M Prasidh Krishna,3
WG Jacks,3
Priyansh Arya,3
A Kumble,3
R Vinay Kumar,3
CH Morris,3
Sameer Rizvi,3
MK Tiwary,3
JC Archer,3
A Nortje,3
C Green,3
CJ Anderson,3
A Symonds,3
LH Ferguson,3
M Vohra,3
PP Chawla,3
SO Hetmyer,3
JO Holder,3
MV Boucher,2
MP Yadav,2
MM Ali,2
BW Hilfenhaus,2
B Lee,2
S Dube,2
Umran Malik,2
MM Patel,2
Iqbal Abdulla,2
Azhar Mahmood,2
Mustafizur Rahman,2
R Tewatia,2
R Shepherd,2
R Sharma,2
R Parag,2
R Dravid,2
RD Rickelton,2
PWH de Silva,2
PV Tambe,2
AB Dinda,2
AJ Tye,2
PC Valthaty,2
P Negi,2
P Kumar,2
AS Rajpoot,2
Nithish Kumar Reddy,2
Akash Madhwal,2
S Gopal,2
Arshdeep Singh,2
VR Aaron,2
MJ McClenaghan,2
JJ Roy,2
MG Johnson,2
Shivam Mavi,2
KM Jadhav,2
SM Pollock,2
S Nadeem,2
DL Chahar,2
Sohail Tanvir,2
EJG Morgan,2
GC Smith,2
GH Vihari,2
KV Sharma,2
H Klaasen,2
Shakib Al Hasan,2
HM Amla,2
JA Morkel,2
Harmeet Singh,2
ST Jayasuriya,2
IK Pathan,2
DJ Hussey,2
KK Ahmed,2
Tilak Varma,2
DE Bollinger,2
MC Henriques,2
D Padikkal,2
M Morkel,2
M Muralitharan,2
SK Trivedi,2
M Ntini,2
M Pathirana,2
Yash Thakur,1
Washington Sundar,1
RE Levi,1
Shashank Singh,1
SP Goswami,1
S Anirudha,1
Shahbaz Ahmed,1
RJ Harris,1
Umar Gul,1
RD Chahar,1
SA Asnodkar,1
S Sreesanth,1
SW Billings,1
Shoaib Akhtar,1
SB Jakati,1
WPUJC Vaas,1
S Badrinath,1
VG Arora,1
S Aravind,1
SM Katich,1
TG Southee,1
RS Bopara,1
RR Rossouw,1
TL Suman,1
T Stubbs,1
Ravi Bishnoi,1
Suyash Sharma,1
RP Singh,1
TM Dilshan,1
WD Parnell,1
Simarjeet Singh,1
Sikandar Raza,1
SB Wagh,1
S Sohal,1
A Chandila,1
R Sai Kishore,1
R McLaren,1
D Ferreira,1
DJ Hooda,1
DJG Sammy,1
DL Vettori,1
DP Nannes,1
DR Sams,1
DS Rathi,1
E Lewis,1
E Malinga,1
FH Allen,1
GD McGrath,1
GD Phillips,1
GJ Bailey,1
HC Brook,1
HF Gurney,1
HH Gibbs,1
Imran Tahir,1
J Botha,1
J Fraser-McGurk,1
