batter,total_runs,total_balls,dismissals,strike_rate,average
VG Arora,10,28,4,35.71,2.5
VH Zol,29,26,2,111.54,14.5
VR Aaron,50,73,4,68.49,12.5
VR Iyer,1677,1223,53,137.12,31.64
VRV Singh,4,3,1,133.33,4.0
VS Malik,7,7,1,100.0,7.0
VS Yeligati,2,2,1,100.0,2.0
VVS Laxman,282,271,16,104.06,17.62
VY Mahesh,15,28,2,53.57,7.5
Vijaykumar Vyshak,16,17,2,94.12,8.0
Virat Singh,15,26,2,57.69,7.5
Vishnu Vinod,71,66,6,107.58,11.83
Vivrant Sharma,69,49,1,140.82,69.0
W Jaffer,130,129,7,100.78,18.57
WA Mota,56,76,5,73.68,11.2
WD Parnell,65,86,10,75.58,6.5
WG Jacks,602,385,21,156.36,28.67
WP Saha,2934,2368,118,123.9,24.86
WPUJC Vaas,81,73,7,110.96,11.57
Washington Sundar,888,689,41,128.88,21.66
X Thalaivan Sargunam,10,17,1,58.82,10.0
XC Bartlett,40,29,2,137.93,20.0
Y Gnaneswara Rao,19,18,1,105.56,19.0
Y Nagar,285,271,14,105.17,20.36
Y Prithvi Raj,0,1,0,0.0,0.0
Y Venugopal Rao,985,865,42,113.87,23.45
YA Abdulla,0,1,0,0.0,0.0
YBK Jaiswal,2593,1750,76,148.17,34.12
YK Pathan,3222,2334,105,138.05,30.69
YS Chahal,37,89,6,41.57,6.17
YV Dhull,16,23,3,69.57,5.33
YV Takawale,192,183,8,104.92,24.0
Yash Dayal,4,9,3,44.44,1.33
Yashpal Singh,47,67,4,70.15,11.75
Younis Khan,3,7,1,42.86,3.0
Yudhvir Singh,22,16,4,137.5,5.5
Yuvraj Singh,2754,2207,107,124.78,25.74
Z Khan,117,141,14,82.98,8.36
